Date,Bank,ROA,ROE,NIM,NPL,CAR,EPS,BOPO
31/03/2020,BNGA,2.10,11.25,5.02,1.56,19.39,42.33,81.72
30/06/2020,BNGA,1.67,9.40,5.50,1.85,19.97,69.99,84.43
30/09/2020,BNGA,1.28,6.64,4.93,1.52,20.88,74.79,87.65
31/12/2020,BNGA,1.06,5.33,4.88,1.40,21.92,80;72,89.38
31/03/2021,BNGA,1.93,10.46,5.12,1.50,22.09,39.95,81.01
30/06/2021,BNGA,2.06,11.67,5.08,1.27,22.05,66.17,78.51
30/09/2021,BNGA,1.96,10.83,5,1.10,22.63,126.38,78.61
31/12/2021,BNGA,1.82,10.44,4.86,1.17,22.68,164.48,78.97
31/03/2022,BNGA,2.06,11.85,4.46,1.11,23.12,47.89,75.66
30/06/2022,BNGA,2.17,12.78,4.54,0.98,21.11,101.65,74.01
30/09/2022,BNGA,2.20,12.90,4.62,0.94,20.98,154.13,73.45
31/12/2022,BNGA,2.16,12.59,4.69,0.75,22.19,202.21,74.10
31/03/2023,BNGA,2.59,15.08,4.71,0.78,21.31,63.42,73.95
30/06/2023,BNGA,2.62,15.45,4.61,0.75,23.21,129.67,73.09
30/09/2023,BNGA,2.63,15.39,4.52,0.68,23.83,196.60,73.58
31/12/2023,BNGA,2.59,15.02,4.40,0.71,24.02,259.45,71.47
31/03/2024,BNGA,2.61,14.35,4.20,0.79,24.46,66.96,72.80
30/06/2024,BNGA,2.61,14.78,4.21,0.79,22.70,135.64,72.29
30/09/2024,BNGA,2.59,14.61,4.16,1,23.44,204.34,72.85
31/12/2024,BNGA,2.53,14.34,4.09,0.69,23.34,271.59,74.02
